Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345490,Ayden Court Nursing and Rehabilitation Center,Ayden,NC,28513,2025-02-06,7,50,17,74,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345491,Croatan Ridge Nursing and Rehabilitation Center,Newport,NC,28570,2025-02-07,11,29,19,59,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Princilple Long Term Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345493,Hendersonville Health and Rehabilitation,Flat Rock,NC,28731,2024-09-11,12,63,31,106,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Sanstone Health & Rehab,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345494,Peak Resources - Gastonia,Gastonia,NC,28054,2025-04-03,12,66,19,97,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Peak Resoources Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345495,The Stewart Health Center,Charlotte,NC,28210,2025-05-16,2,0,64,66,SNF (Medicare) Only,No,Non-Profit - Nonprofit Corporation,Yes,Life Care Services,0,20,0,0,0,0,0,0,0,Yes,Yes,No,Yes,,0,,0,No
345496,Liberty Commons Nursing & Rehabilitation Center of Alamance County,Burlington,NC,27215,2024-09-27,9,88,17,114,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,20,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345499,Litchford Falls Health and Rehabilitation Center,Raleigh,NC,27615,2025-05-08,29,38,21,88,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345500,Windsor Point Continuing Care,Fuquay-Varina,NC,27526,2024-11-27,3,0,25,28,Skilled Nursing Facility (SNF) - Medicare Participation,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345501,Croasdaile Village,Durham,NC,27705,2024-07-11,7,14,60,81,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,United Methodist Retirement Home Inc,0,0,0,0,0,0,0,0,0,No,No,No,Yes,,0,,0,No
345502,Lake Park Nursing and Rehabilitation Center,Indian Trail,NC,28079,2024-10-24,14,55,36,105,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Principle LTC,2,59,0,0,0,11,0,0,0,Yes,No,No,No,,0,,0,Yes
